Chromosome Position.bp. Rate.cM.Mb. Map.cM.
chr4 77200805 0.224242 90.610632
chr4 77201487 2.902006 90.610785
chr4 77201804 2.97529 90.611705
chr4 77202019 0.714102 90.612344
chr4 77202404 1.8055 90.612619
chr4 77202713 1.479442 90.613177
chr4 77202812 1.255332 90.613324
chr4 77202861 0.99003 90.613385
chr4 77202882 0.824935 90.613406
chr4 77204500 0.79736 90.614741
chr4 77208107 0.797187 90.617617
chr4 77208412 0.796967 90.61786
chr4 77208973 0.796931 90.618307
chr4 77210937 0.797002 90.619872
chr4 77212363 0.797005 90.621009
chr4 77213829 0.796918 90.622177
chr4 77215852 0.797145 90.623789
chr4 77216971 0.797963 90.624681
chr4 77217812 5.176105 90.625352
chr4 77217924 5.301981 90.625932
chr4 77218240 5.651339 90.627608
chr4 77219057 6.741829 90.632225
chr4 77219402 6.762388 90.634551
chr4 77219431 6.774379 90.634747
chr4 77219517 6.777722 90.635329
chr4 77220837 1.716669 90.644276
chr4 77220989 1.679627 90.644537
chr4 77222245 1.670205 90.646646
chr4 77222933 1.668286 90.647796
chr4 77224389 1.668577 90.650225
chr4 77224649 0.229295 90.650658
chr4 77225313 0.229092 90.650811
chr4 77227573 1.476669 90.651328
chr4 77228724 0.468227 90.653028
chr4 77228765 0.102757 90.653047
chr4 77228789 0.036366 90.65305
chr4 77232225 0.03636 90.653175
chr4 77234758 0.217159 90.653267
chr4 77236411 0.042682 90.653626
chr4 77237130 0.033028 90.653656
chr4 77243754 0.030483 90.653875
chr4 77243883 0.025712 90.653879
chr4 77244120 0.022412 90.653885
chr4 77244269 0.01115 90.653889
chr4 77244917 0.005887 90.653896
chr4 77245310 0.0027 90.653898
chr4 77246636 0.002142 90.653902
chr4 77246835 0.00182 90.653902
chr4 77247475 0.00182 90.653903
chr4 77252196 0.00182 90.653912
chr4 77253463 0.00182 90.653914
chr4 77254804 0.00182 90.653917
chr4 77262103 0.001879 90.65393
chr4 77262632 0.002101 90.653931
chr4 77262694 0.002732 90.653931
chr4 77262950 0.002732 90.653932
chr4 77263203 0.002732 90.653932
chr4 77264673 0.002776 90.653936
chr4 77266252 0.002776 90.653941
chr4 77268153 0.002776 90.653946
chr4 77269262 0.145194 90.653949
chr4 77276195 0.145194 90.654956
chr4 77278195 0.098975 90.655246
chr4 77278411 0.005508 90.655268
chr4 77282866 0.182043 90.655292
